"","term","medianJJ","lib_median","lib_court","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","_merge"
"1",1946,"SFReed",0,0,"1946-062","1946-062-04","1946-062-04-01","1946-062-04-01-01",1947-03-10,1,"330 U.S. 395","67 S. Ct. 775","91 L. Ed. 973","1947 U.S. LEXIS 2951",1301,"Vinson","10","UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA v. UNITED STATES",1945-03-08,1946-10-15,243,NA,27,NA,1,NA,NA,0,50,6,29,NA,0,3,2,2,1,4,0,1,0,0,70020,7,1,0,4,NA,3,367,"",79,74,1,5,3,3
"2",1946,"SFReed",0,0,"1946-126","1946-126-01","1946-126-01-01","1946-126-01-01-01",1947-06-23,1,"332 U.S. 46","67 S. Ct. 1672","91 L. Ed. 1903","1947 U.S. LEXIS 2876",1301,"Vinson","102","ADAMSON v. CALIFORNIA",1947-01-15,NA,100,NA,28,6,2,NA,NA,0,302,6,300,6,0,1,2,1,1,2,0,0,0,0,10090,1,1,0,2,NA,2,210,"",79,87,1,5,4,3
"3",1946,"SFReed",0,0,"1946-113","1946-113-01","1946-113-01-01","1946-113-01-01-01",1947-06-09,1,"331 U.S. 543","67 S. Ct. 1428","91 L. Ed. 1662","1947 U.S. LEXIS 2159",1301,"Vinson","103","GOSPEL ARMY v. LOS ANGELES ET AL.",1947-02-06,NA,130,NA,3,6,2,NA,NA,0,302,6,300,6,1,1,3,1,1,9,0,0,0,0,90380,9,1,0,4,NA,6,600,"28 U.S.C. § 237",85,87,1,9,0,3
"4",1946,"SFReed",0,0,"1946-134","1946-134-01","1946-134-01-01","1946-134-01-01-01",1947-06-23,1,"332 U.S. 218","67 S. Ct. 1560","91 L. Ed. 2010","1947 U.S. LEXIS 2029",1301,"Vinson","1035","UNITED STATES v. YELLOW CAB CO. et al.",1947-05-07,NA,27,NA,121,NA,2,NA,NA,0,66,17,66,17,0,1,NA,1,1,4,0,1,0,0,80010,8,2,0,4,NA,3,367,"",82,87,1,7,1,3
"5",1946,"SFReed",0,0,"1946-041","1946-041-01","1946-041-01-01","1946-041-01-01-01",1947-01-20,1,"329 U.S. 585","67 S. Ct. 398","91 L. Ed. 521","1947 U.S. LEXIS 2863",1301,"Vinson","106","UNITED STATES v. THAYER-WEST POINT HOTEL CO.",1946-12-20,NA,27,NA,241,NA,1,24,NA,0,3,NA,3,NA,0,12,NA,2,1,3,0,1,0,0,80060,8,2,0,4,NA,6,600,"28 U.S.C. § 284",82,87,1,9,0,3
"6",1946,"SFReed",0,0,"1946-008","1946-008-01","1946-008-01-01","1946-008-01-01-01",1946-12-09,1,"329 U.S. 129","67 S. Ct. 231","91 L. Ed. 128","1946 U.S. LEXIS 2995",1301,"Vinson","11","ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.",1946-04-25,1946-10-24,189,NA,189,NA,1,24,NA,0,54,9,23,NA,0,12,5,2,1,5,0,1,0,0,90200,9,1,0,4,NA,6,600,"35 U.S.C. § 89",87,87,1,9,0,3
"7",1946,"SFReed",0,0,"1946-143","1946-143-01","1946-143-01-01","1946-143-01-01-01",1947-06-23,1,"332 U.S. 19","67 S. Ct. 1658","91 L. Ed. 1889","1947 U.S. LEXIS 2865",1301,"Vinson","12","UNITED STATES v. CALIFORNIA",1947-03-13,NA,27,NA,28,6,9,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,3,NA,0,1,0,0,100040,10,2,0,1,NA,1,146,"NA",78,87,1,6,2,3
"8",1946,"SFReed",0,0,"1946-002","1946-002-01","1946-002-01-01","1946-002-01-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","12","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"9",1946,"SFReed",0,0,"1946-002","1946-002-05","1946-002-05-01","1946-002-05-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","13","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"10",1946,"SFReed",0,0,"1946-137","1946-137-01","1946-137-01-01","1946-137-01-01-01",1947-06-23,1,"332 U.S. 258","67 S. Ct. 1558","91 L. Ed. 2041","1947 U.S. LEXIS 2882",1301,"Vinson","133M","EX PARTE FAHEY, FEDERAL HOME LOAN BANK COMMISSIONER, ET AL.",1947-04-30,NA,346,NA,16,60,8,NA,NA,0,51,NA,51,NA,0,1,NA,1,1,9,0,0,0,0,90370,9,1,0,3,NA,NA,NA,"",84,87,1,9,0,3
