,term,justiceName,medianJJ,liberal,median,lib_median,lib_court,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,vote,opinion,direction,majority,firstAgreement,secondAgreement,_merge
1,1946,FFrankfurter,SFReed,0,0,0,0,1946-098,1946-098-02,1946-098-02-01,1946-098-02-01-01-04,5/5/47,1,331 U.S. 218,67 S. Ct. 1146,91 L. Ed. 1447,1947 U.S. LEXIS 2938,1301,Vinson,472,RICE ET AL. v. SANTA FE ELEVATOR CORP. ET AL.,2/13/47,NA,4,17,177,NA,1,117,17,0,66,17,27,NA,0,10,3,2,1,7,0,0,0,0,100030,10,2,0,2,NA,6,600,7 U.S.C. Œ_ 241,81,87,1,7,2,80,2,2,1,1,NA,NA,3
2,1946,FMVinson,SFReed,0,0,0,0,1946-041,1946-041-01,1946-041-01-01,1946-041-01-01-01-01,1/20/47,1,329 U.S. 585,67 S. Ct. 398,91 L. Ed. 521,1947 U.S. LEXIS 2863,1301,Vinson,106,UNITED STATES v. THAYER-WEST POINT HOTEL CO.,12/20/46,NA,27,NA,241,NA,1,24,NA,0,3,NA,3,NA,0,12,NA,2,1,3,0,1,0,0,80060,8,2,0,4,NA,6,600,28 U.S.C. Œ_ 284,82,87,1,9,0,87,1,1,2,2,NA,NA,3
3,1946,FMurphy,SFReed,1,0,0,0,1946-023,1946-023-02,1946-023-02-01,1946-023-02-01-01-08,12/23/46,1,329 U.S. 338,67 S. Ct. 301,91 L. Ed. 331,1946 U.S. LEXIS 1584,1301,Vinson,86,GIBSON v. UNITED STATES,1/2/46,10/23/46,142,NA,27,NA,1,24,NA,0,103,41,26,NA,0,10,2,1,1,3,0,1,0,0,30130,3,2,0,4,NA,3,366,,85,87,1,9,0,82,3,2,2,2,NA,NA,3
4,1946,HHBurton,SFReed,0,0,0,0,1946-143,1946-143-01,1946-143-01-01,1946-143-01-01-01-09,6/23/47,1,332 U.S. 19,67 S. Ct. 1658,91 L. Ed. 1889,1947 U.S. LEXIS 2865,1301,Vinson,12,UNITED STATES v. CALIFORNIA,3/13/47,NA,27,NA,28,6,9,NA,NA,0,NA,NA,NA,NA,0,1,NA,NA,3,NA,0,1,0,0,100040,10,2,0,1,NA,1,146,NA,78,87,1,6,2,86,1,1,2,2,NA,NA,3
5,1946,HLBlack,SFReed,1,0,0,0,1946-002,1946-002-08,1946-002-08-01,1946-002-08-01-01-06,11/18/46,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1301,Vinson,18,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,18 U.S.C. Œ_ 398,81,87,1,6,3,78,2,3,2,1,NA,NA,3
6,1946,RHJackson,SFReed,0,0,0,0,1946-045,1946-045-01,1946-045-01-01,1946-045-01-01-01-02,2/3/47,1,329 U.S. 637,67 S. Ct. 610,91 L. Ed. 563,1947 U.S. LEXIS 3022,1301,Vinson,208,TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.,1/7/47,NA,172,NA,177,NA,1,NA,NA,0,96,37,22,NA,1,3,3,2,1,4,0,1,0,0,80180,8,1,0,7,3,NA,NA,,81,87,1,5,4,84,1,1,1,2,NA,NA,3
7,1946,SFReed,SFReed,0,1,0,0,1946-049,1946-049-01,1946-049-01-01,1946-049-01-01-01-05,2/10/47,1,330 U.S. 1,67 S. Ct. 504,91 L. Ed. 711,1947 U.S. LEXIS 2959,1301,Vinson,52,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,11/20/46,NA,25,35,21,35,2,NA,NA,0,302,35,300,35,0,1,3,1,1,2,0,0,0,0,30170,3,1,0,2,NA,2,230,,78,87,1,5,4,79,1,1,1,2,NA,NA,3
8,1946,WBRutledge,SFReed,1,0,0,0,1946-028,1946-028-01,1946-028-01-01,1946-028-01-01-01-07,1/6/47,1,329 U.S. 416,67 S. Ct. 444,91 L. Ed. 390,1947 U.S. LEXIS 2796,1301,Vinson,75,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",12/12/46,NA,25,41,19,41,2,117,41,0,300,41,300,41,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,NA,2,230,,78,87,1,9,0,85,3,2,2,2,NA,NA,3
9,1946,WODouglas,SFReed,1,0,0,0,1946-075,1946-075-01,1946-075-01-01,1946-075-01-01-01-03,3/31/47,1,330 U.S. 610,67 S. Ct. 903,91 L. Ed. 1133,1947 U.S. LEXIS 2472,1301,Vinson,384,NEW YORK EX REL. HALVEY v. HALVEY,2/5/47,NA,253,NA,168,NA,1,NA,NA,0,302,37,300,37,0,10,2,3,1,2,0,0,0,0,110030,11,3,0,2,NA,1,143,,81,78,1,9,0,81,1,2,NA,2,NA,NA,3
10,1947,FFrankfurter,SFReed,0,0,0,0,1947-017,1947-017-03,1947-017-03-01,1947-017-03-01-01-04,12/22/47,1,332 U.S. 539,68 S. Ct. 248,92 L. Ed. 2d 154,1947 U.S. LEXIS 1512,1301,Vinson,56,BLUMENTHAL v. UNITED STATES,10/23/47,NA,105,NA,27,NA,1,89,NA,0,50,6,29,NA,1,10,2,1,1,2,0,0,0,0,10400,1,1,0,4,NA,6,600,50 U.S.C. Œ_ 902,85,79,1,9,0,80,1,1,1,2,NA,NA,3
